0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,19.00,22.00,21.00,16.00,22.00,22.00,19.00,22.00,18.00,22.00,17.00,22.00,18.00,22.00,23.00,22.00,22.00,22.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,22.00,21.00,21.00,22.00,22.00,22.00,22.00,22.00,21.00,22.00,23.00,18.00,22.00,19.00,21.00,21.00,16.00,19.00,24.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,21.00,18.00,21.00,21.00,23.00,22.00,18.00,20.00,20.00,21.00,23.00,23.00,22.00,23.00,22.00,20.00,23.00,22.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,21.00,23.00,22.00,23.00,22.00,22.00,19.00,22.00,22.00,20.00,21.00,22.00,23.00,23.00,23.00,20.00,22.00,21.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,19.00,23.00,21.00,20.00,22.00,18.00,19.00,21.00,22.00,23.00,19.00,23.00,21.00,22.00,21.00,22.00,21.00,19.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,21.00,21.00,21.00,20.00,22.00,21.00,21.00,23.00,19.00,21.00,22.00,23.00,22.00,22.00,20.00,22.00,22.00,21.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,19.00,22.00,23.00,22.00,22.00,16.00,15.00,20.00,22.00,22.00,18.00,21.00,22.00,20.00,21.00,22.00,23.00,22.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,17.00,21.00,17.00,19.00,23.00,22.00,21.00,23.00,21.00,21.00,19.00,23.00,22.00,23.00,22.00,20.00,22.00,21.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,21.00,18.00,22.00,19.00,22.00,19.00,19.00,23.00,21.00,21.00,22.00,24.00,20.00,20.00,19.00,19.00,22.00,22.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,22.00,18.00,19.00,22.00,22.00,23.00,23.00,20.00,21.00,22.00,21.00,22.00,19.00,22.00,23.00,20.00,22.00,23.00,21.00
20.00,21.00,20.00,22.00,19.00,21.00,20.00,18.00,20.00,23.00,17.00,21.00,21.00,22.00,22.00,22.00,21.00,18.00,22.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.00,20.00,21.00,20.00,21.00,20.00,22.00,22.00,23.00,19.00,19.00,22.00,21.00,21.00,19.00,21.00,19.00,17.00,21.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,22.00,21.00,23.00,21.00,22.00,21.00,18.00,22.00,16.00,22.00,21.00,18.00,23.00,23.00,21.00,22.00,21.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,19.00,17.00,22.00,19.00,21.00,23.00,22.00,22.00,21.00,21.00,21.00,21.00,22.00,21.00,21.00,23.00,17.00,22.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,21.00,20.00,22.00,20.00,22.00,22.00,23.00,22.00,23.00,16.00,22.00,21.00,23.00,20.00,20.00,22.00,19.00,19.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,21.00,21.00,21.00,23.00,24.00,20.00,21.00,22.00,22.00,22.00,22.00,23.00,22.00,22.00,22.00,22.00,23.00,22.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,22.00,18.00,21.00,21.00,21.00,23.00,19.00,17.00,22.00,22.00,22.00,22.00,22.00,18.00,21.00,16.00,22.00,19.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,21.00,20.00,19.00,23.00,22.00,21.00,21.00,22.00,22.00,19.00,22.00,18.00,19.00,19.00,21.00,15.00,21.00,19.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,16.00,19.00,22.00,21.00,22.00,22.00,19.00,22.00,19.00,22.00,22.00,20.00,22.00,21.00,23.00,20.00,23.00,23.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,20.00,20.00,23.00,17.00,22.00,20.00,17.00,16.00,22.00,18.00,21.00,20.00,22.00,22.00,19.00,22.00,21.00,21.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,20.00,22.00,20.00,20.00,21.00,20.00,21.00,19.00,20.00,22.00,22.00,21.00,20.00,23.00,21.00,22.00,21.00,21.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,21.00,21.00,20.00,21.00,20.00,22.00,22.00,21.00,21.00,17.00,23.00,23.00,21.00,19.00,22.00,18.00,19.00,22.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.00,22.00,22.00,21.00,21.00,20.00,23.00,22.00,23.00,22.00,22.00,18.00,23.00,22.00,23.00,23.00,21.00,23.00,24.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,21.00,23.00,22.00,21.00,20.00,21.00,21.00,15.00,22.00,18.00,22.00,22.00,23.00,21.00,22.00,22.00,22.00,20.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.00,23.00,20.00,21.00,22.00,22.00,23.00,17.00,21.00,19.00,22.00,19.00,23.00,23.00,22.00,22.00,20.00,23.00,20.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,21.00,19.00,22.00,20.00,19.00,21.00,21.00,21.00,22.00,23.00,21.00,22.00,23.00,21.00,20.00,21.00,22.00,19.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,22.00,21.00,21.00,21.00,20.00,18.00,20.00,20.00,21.00,22.00,21.00,20.00,20.00,22.00,22.00,22.00,20.00,19.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,23.00,21.00,23.00,19.00,20.00,18.00,21.00,20.00,19.00,22.00,16.00,23.00,22.00,21.00,22.00,23.00,22.00,22.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,22.00,21.00,23.00,20.00,23.00,21.00,22.00,21.00,13.00,22.00,19.00,22.00,21.00,19.00,21.00,22.00,21.00,22.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,19.00,21.00,19.00,21.00,21.00,22.00,18.00,22.00,23.00,21.00,24.00,20.00,21.00,23.00,19.00,19.00,23.00,23.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
